type              n    locations
Message           8   oc-util(oc-util/src/util/rpc.rs), oc-acp(oc-acp/src/sdk.rs), oc-tui(oc-tui/src/types.rs), oc-mcp(oc-mcp/src/jsonrpc.rs), oc-session-runner(oc-session-runner/src/llm/message.rs), oc-schema(oc-schema/src/session_message.rs), oc-llm(oc-llm/src/schema/messages.rs), oc-session(oc-session/src/v2.rs)
Prompt            8   oc-command(oc-command/src/question/schema.rs), oc-mcp(oc-mcp/src/types.rs), oc-client(oc-client/src/types/prompt.rs), oc-core(oc-core/src/integration.rs), oc-session-runner(oc-session-runner/src/session/event.rs), oc-schema(oc-schema/src/prompt.rs), oc-session(oc-session/src/v2.rs), oc-provider(oc-provider/src/provider/auth.rs)
Entry             7   oc-plugin(oc-plugin/src/meta.rs), oc-util(oc-util/src/ripgrep/mod.rs), oc-tool(oc-tool/src/ripgrep.rs), oc-mcp(oc-mcp/src/auth.rs), oc-schema(oc-schema/src/filesystem.rs), oc-session(oc-session/src/compaction_core.rs), oc-config(oc-config/src/v1/lsp.rs)
ModelRef          7   oc-acp(oc-acp/src/config_option.rs), oc-tui(oc-tui/src/types.rs), oc-server(oc-server/src/schema.rs), oc-client(oc-client/src/types/model.rs), oc-core(oc-core/src/agent.rs), oc-session-runner(oc-session-runner/src/session/schema.rs), oc-session(oc-session/src/v1.rs)
SessionInfo       7   oc-acp(oc-acp/src/types.rs), oc-cli(oc-cli/src/cli/cmd/run/types.rs), oc-server(oc-server/src/schema.rs), oc-client(oc-client/src/types/session.rs), oc-session-runner(oc-session-runner/src/session/schema.rs), oc-schema(oc-schema/src/v1/session.rs), oc-session(oc-session/src/v1.rs)
Tokens            7   oc-acp(oc-acp/src/sdk.rs), oc-mcp(oc-mcp/src/auth.rs), oc-cli(oc-cli/src/cli/cmd/stats.rs), oc-server(oc-server/src/schema.rs), oc-client(oc-client/src/types/session_message.rs), oc-session-runner(oc-session-runner/src/session/message.rs), oc-session(oc-session/src/session.rs)
ToolState         7   oc-acp(oc-acp/src/sdk.rs), oc-tui(oc-tui/src/types.rs), oc-cli(oc-cli/src/cli/cmd/run/types.rs), oc-client(oc-client/src/types/session_message.rs), oc-session-runner(oc-session-runner/src/session/message.rs), oc-schema(oc-schema/src/session_message.rs), oc-session(oc-session/src/v1.rs)
ToolContent       6   oc-tool(oc-tool/src/model.rs), oc-client(oc-client/src/types/session_message.rs), oc-session-runner(oc-session-runner/src/llm/event.rs), oc-schema(oc-schema/src/llm.rs), oc-llm(oc-llm/src/schema/messages.rs), oc-session(oc-session/src/v2.rs)
CacheTokens       5   oc-acp(oc-acp/src/sdk.rs), oc-tui(oc-tui/src/types.rs), oc-server(oc-server/src/schema.rs), oc-session-runner(oc-session-runner/src/session/message.rs), oc-session(oc-session/src/v1.rs)
Part              5   oc-acp(oc-acp/src/sdk.rs), oc-tui(oc-tui/src/types.rs), oc-cli(oc-cli/src/cli/cmd/run/types.rs), oc-schema(oc-schema/src/v1/session.rs), oc-session(oc-session/src/v1.rs)
