anyhow 1.0.104
async-trait 0.1.91
axum 0.8.9
base64 0.22.1
bytes 1.12.1
chrono 0.4.45
clap 4.6.5
crossterm 0.28.1
directories 5.0.1
flate2 1.1.9
futures 0.3.33
getrandom 0.2.17
glob 0.3.4
globset 0.4.20
indexmap 2.14.0
json5 0.4.1
libc 0.2.189
libquickjs-sys 0.1.0
mime 0.3.17
mime_guess 2.0.5
once_cell 1.21.4
percent-encoding 2.3.2
rand 0.8.7
ratatui 0.29.0
regex 1.13.1
reqwest 0.12.28
rusqlite 0.32.1
ryu 1.0.23
semver 1.0.28
serde 1.0.229
serde_json 1.0.151
serde_path_to_error 0.1.20
serde_yml 0.0.12
sha1 0.10.7
sha2 0.10.9
tar 0.4.46
tempfile 3.27.0
thiserror 2.0.19
tokio 1.53.1
tokio-stream 0.1.19
tokio-tungstenite 0.24.0
tokio-util 0.7.19
toml 0.8.23
tower 0.5.3
tower-http 0.6.11
tracing 0.1.44
tracing-subscriber 0.3.23
unicode-width 0.2.0
url 2.5.8
uuid 1.24.0
walkdir 2.5.0
